AAF Luftreinigungssysteme     Gesellschaft mbH                                                                          0000Weyrgasse 8/7                 A 1030  Wien                          000011
AdPro Computerschulung        Gesellschaft mbH                                                                          0000Bernardgasse 36               A 1070  Wien                          000020
Aerocontact-Reisen            Gesellschaft mit              beschrÑnkter Haftung                                        0000Opernring 3-5                 A 1010  Wien                          000027
AGIRE Handels-und             Werbegesellschaft mbH                                                                     0000Reinprechtsdorfer Stra·e 22   A 1050  Wien                          000032
A.Ahner                       HaushaltsgerÑtehandels-       gesellschaft mbH & Co KG                                    0000Wolfganggasse 25              A 1120  Wien                          000034
Hermann Albrecht              Gesellschaft mbH                                                                          0000Lavendelweg 22                A 1224  Wien                          000042
Alcatel Austria               Aktiengesellschaft                                                                        0114Kommunikationsplatz 1         A 1211  Wien                          000044
Allemeyer Gesellschaft mbH                                                                                              0000Breitenfurter Stra·e 165      A 1120  Wien                          000051
Allpack Verpackungen          Gesellschaft mbH                                                                          0000Breitenfurter Stra·e 231      A 1230  Wien                          000053
ALPE-Alois Pebîck             Gesellschaft mbH                                                                          0000Herzogenburger Stra·e 5       A 3100  St.Pîlten                     000058
Renate Bauer                  Gesellschaft mbH              Amberger KÅhlanlagen                                        0000Wilhelmstra·e 18              A 1120  Wien                          000067
Ing.Amon Erwin                Baumeister und Betonwarenerz.                                                             0000                              A 2164  WildendÅrnbach 276            000069
Andruck & Repro               Gesellschaft mbH                                                                          0000HÅtteldorfer Strasse 219      A 1140  Wien                          000073
Angst und Pfister             Gesellschaft mbH                                                                          0000Leopoldauer Stra·e 143        A 1210  Wien                          000077
ARRI Cine und VideogerÑte     Gesellschaft mbH                                                                          0000Mariahilfer Stra·e 136        A 1150  Wien                          000094
Astor-Otto Berning,           Handel mit Konfektions-       bedarf, KG                                                  0000BÅrgerspitalgasse 10          A 1060  Wien                          000101
Atlas Zeitschriftenverlag     Gesellschaft mbH                                                                          0000Seidengasse 26/6b             A 1070  Wien                          000104
M.AugmÅller                   Kunststoff-Verarbeitung       Gesellschaft mbH                                            0000Hanauskagasse 3               A 1120  Wien                          000109
Automobil-Handels & WerkstÑt- tenbetriebs-Gesellschaft mbH  vorm.Werk Breitensee der      Perl A.G.Nachf.Kom.Ges.       0000Triester Stra·e 160-164       A 1232  Wien                          000123
Bauglas Gro·handel            Gesellschaft mbH                                                                          0000Feldstra·e 12                 A 2345  Brunn / Gebirge               000167
Herbert Baumgartner           Gesellschaft mbH              KÅhlanlagen                                                 0000GÅnthergasse 13               A 2700  Wiener Neustadt               000173
Baustahlcenter                Gesellschaft mbH                                                                          0000Buchriegelgasse 23            A 2551  Enzesfeld                     000176
Bayer Franz                   Weinhandel-Spirituosen                                                                    0000                              A 3465  Kînigsbrunn 26                000180
Buchdruckerei                 Ernst Becvar                  Gesellschaft mbH                                            0000Lichtgasse 10                 A 1150  Wien                          000185
Peter Beinwachs               Gesellschaft mbH                                                                          0000Wiener Stra·e 100/104         A 2700  Wiener Neustadt               000196
BrÅder Beran                  Kunststoffverarbeitung        Gesellschaft mbH                                            0000Ameisgasse 65                 A 1140  Wien                          000280
Berger Spirituosen            Gesellschaft mbH                                                                          0000Pohlgasse 33                  A 1120  Wien                          000286
Berger Gesellschaft mbH                                                                                                 0000Amtsstra·e 45-47              A 1210  Wien                          000288
Burgenl. ElektrizitÑtswirt-   schaft Aktiengesellschaft     BEWAG                         Zentralverwaltung             0000Kasernenstra·e 9              A 7000  Eisenstadt                    000298
Elektro Beyhl                 Gesellschaft mbH                                                                          0000Leesdorfer Hauptstra·e 8      A 2500  Baden                         000303
Binder Klaus                  Vereinigte Produktions-       betriebe                                                    0000Rembrandgasse 47              A 2380  Perchtoldsdorf                000311
A.Birngruber & Co             Audi,VW und NSU-HÑndler                                                                   0000Wertheimstra·e 2              A 3500  Krems                         000354
Birtner Gesellschaft mbH                                                                                                0000Fischamender Stra·e 60        A 2432  Schwadorf                     000355
BMS BÅromaschinenservice      Gesellschaft mbH                                                                          0000Klosterneuburger Stra·e 100   A 1200  Wien                          000368
Bothe & Co                    Gesellschaft mbH                                                                          0000Eisenbahnstra·e 61            A 1190  Wien                          000380
Brandl Erwin                  Spenglerei-Dachdeckerei-      Blitzschutzbau                                              0000                              A 2223  Hohenruppersdorf 158          000383
Brauerei Zwettl               Karl Schwarz Gesellschaft mbH                                                             0000Syrnauerstra·e 22-25          A 3910  Zwettl                        000388
Brauckmann & Prîbsting        Gesellschaft mbH                                                                          0000Klederinger Stra·e 37         A 2320  Schwechat-Kledering           000390
Ing.Brodicky                  Gesellschaft mbH                                                                          0000Nu·dorfer Stra·e 63           A 1090  Wien                          000428
A. & M. Bucek                 Gesellschaft mbH                                                                          0000Krausegasse 8                 A 1110  Wien                          000443
Bauarbeiter Urlaubskasse                                                                                                0000Kliebergasse 1A               A 1050  Wien                          000737
Alpetour, Spedition           Transportgesellschaft mbH                                                                 0000Lastenstra·e 6                A 9150  Bleiburg                      001006
Baar  Vertriebs-              gesellschaft m.b.H.                                                                       0000St. Veiterring 33             A 9020  Klagenfurt                    001029
